file_path,file_name,file_format,file_role,size_bytes,source,publisher,access_date,notes
data/raw/SPO.09.A23.65511.8.1.parquet,SPO.09.A23.65511.8.1.parquet,parquet,raw input data,168443,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.AKC.1548.8.1.parquet,SPO.09.AKC.1548.8.1.parquet,parquet,raw input data,167142,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.BELG.1500.8.1.parquet,SPO.09.BELG.1500.8.1.parquet,parquet,raw input data,167931,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.FLO.1510.8.1.parquet,SPO.09.FLO.1510.8.1.parquet,parquet,raw input data,167707,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.GAUD.1505.8.1.parquet,SPO.09.GAUD.1505.8.1.parquet,parquet,raw input data,167797,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.JAEG.820.8.1.parquet,SPO.09.JAEG.820.8.1.parquet,parquet,raw input data,164706,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.KE.1047.8.1.parquet,SPO.09.KE.1047.8.1.parquet,parquet,raw input data,167572,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.KEND.1522.8.1.parquet,SPO.09.KEND.1522.8.1.parquet,parquet,raw input data,166778,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.LIES.1527.8.1.parquet,SPO.09.LIES.1527.8.1.parquet,parquet,raw input data,167103,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.LOB.826.8.1.parquet,SPO.09.LOB.826.8.1.parquet,parquet,raw input data,164560,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.MBA.1515.8.1.parquet,SPO.09.MBA.1515.8.1.parquet,parquet,raw input data,169299,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.SCHA.1537.8.1.parquet,SPO.09.SCHA.1537.8.1.parquet,parquet,raw input data,164329,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.STAD.1542.8.1.parquet,SPO.09.STAD.1542.8.1.parquet,parquet,raw input data,167307,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.STEF.815.8.1.parquet,SPO.09.STEF.815.8.1.parquet,parquet,raw input data,165478,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.TAB.524.8.1.parquet,SPO.09.TAB.524.8.1.parquet,parquet,raw input data,168265,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
data/raw/SPO.09.ZA.1552.8.1.parquet,SPO.09.ZA.1552.8.1.parquet,parquet,raw input data,166681,https://www.eea.europa.eu/en/datahub/datahubitem-view/778ef9f5-6293-4846-badd-56a29c70880d,European Environment Agency,3/18/2026,Original EEA filename retained for provenance
