sampling_point_id,sampling_point_code,country_code,station_code,source_file,source_publisher
1,AT/SPO.09.A23.65511.8.1,AT,SPO.09.A23.65511.8.1,SPO.09.A23.65511.8.1,European Environment Agency
2,AT/SPO.09.AKC.1548.8.1,AT,SPO.09.AKC.1548.8.1,SPO.09.AKC.1548.8.1,European Environment Agency
3,AT/SPO.09.BELG.1500.8.1,AT,SPO.09.BELG.1500.8.1,SPO.09.BELG.1500.8.1,European Environment Agency
4,AT/SPO.09.FLO.1510.8.1,AT,SPO.09.FLO.1510.8.1,SPO.09.FLO.1510.8.1,European Environment Agency
5,AT/SPO.09.GAUD.1505.8.1,AT,SPO.09.GAUD.1505.8.1,SPO.09.GAUD.1505.8.1,European Environment Agency
6,AT/SPO.09.JAEG.820.8.1,AT,SPO.09.JAEG.820.8.1,SPO.09.JAEG.820.8.1,European Environment Agency
7,AT/SPO.09.KE.1047.8.1,AT,SPO.09.KE.1047.8.1,SPO.09.KE.1047.8.1,European Environment Agency
8,AT/SPO.09.KEND.1522.8.1,AT,SPO.09.KEND.1522.8.1,SPO.09.KEND.1522.8.1,European Environment Agency
9,AT/SPO.09.LIES.1527.8.1,AT,SPO.09.LIES.1527.8.1,SPO.09.LIES.1527.8.1,European Environment Agency
10,AT/SPO.09.LOB.826.8.1,AT,SPO.09.LOB.826.8.1,SPO.09.LOB.826.8.1,European Environment Agency
11,AT/SPO.09.MBA.1515.8.1,AT,SPO.09.MBA.1515.8.1,SPO.09.MBA.1515.8.1,European Environment Agency
12,AT/SPO.09.SCHA.1537.8.1,AT,SPO.09.SCHA.1537.8.1,SPO.09.SCHA.1537.8.1,European Environment Agency
13,AT/SPO.09.STAD.1542.8.1,AT,SPO.09.STAD.1542.8.1,SPO.09.STAD.1542.8.1,European Environment Agency
14,AT/SPO.09.STEF.815.8.1,AT,SPO.09.STEF.815.8.1,SPO.09.STEF.815.8.1,European Environment Agency
15,AT/SPO.09.TAB.524.8.1,AT,SPO.09.TAB.524.8.1,SPO.09.TAB.524.8.1,European Environment Agency
16,AT/SPO.09.ZA.1552.8.1,AT,SPO.09.ZA.1552.8.1,SPO.09.ZA.1552.8.1,European Environment Agency
